Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/lubna-olayan,Lubna Olayan,�,Riyadh,Saudi Arabia,"11,998",Lubna,Olayan,Female,"Lubna S. Olayan is the Deputy Chairperson of the Board of Directors and Chief Executive Officer at the Olayan Financing Company, a subsidiary and the holding entity for the Olayan Group's operations in the Kingdom of Saudi Arabia and the Middle East.

Lubna is a Member of the Board of Directors at Saudi Hollandi Bank, a publicly listed company in Saudi Arabia, and sits on the Board of Schlumberger.

Lubna is on the International Advisory Boards of Rolls Royce, Akbank and the National Bank of Kuwait.

Lubna sits on the Board of Trustees of King Abdullah University of Science and Technology (KAUST) and Cornell University and a number of non-profit organisations.

Lubna served as a Non-Executive Director of WPP plc, a multinational communication services company, from March 2005 to June 2012 and was a Member of its nomination committee.

Lubna earned her MBA from Indiana University and B.Sc. degree in Agriculture from Cornelll University.",,
https://www.crunchbase.com/person/robert-wilt-74ea,Robert Wilt,Chief Executive Officer,Riyadh,Saudi Arabia,"13,366",Robert,Wilt,Male,"Robert Wilt was appointed as Chief Executive Officer (CEO) of Ma�aden on 1st February 2022. He brings 30+ years of experience in various leadership positions, delivering exceptional strategic and operational results in a range of challenging global environments.

Between February 2020 and January 2022, Bob was President and CEO of �Sofina Foods� one of Canada�s largest food processing companies with a global footprint. Prior to this, he was President of the �Metals Group� at �Precision Castparts Corporation�, managing two subsidiary aerospace and industrial companies with a combined total global revenue of $2.5 billion.

He was previously Executive Vice President of �Alcoa�, where he spent 17 years in multiple positions and was accountable for the world�s largest bauxite mining and alumina refining system, and third largest smelting system.

Wilt holds an MBA from Harvard Business School and a bachelor�s degree in Engineering Management from the United States Military Academy at West Point, New York.",Ma�aden,https://www.linkedin.com/in/bob-wilt-3492696
https://www.crunchbase.com/person/al-sharif-nawaf-faiez-al-abdelhakim,Al Sharif Nawaf Faiez Al Abdelhakim,�,Saudi Arabia,,"13,409",Al Sharif Nawaf,Faiez Al Abdelhakim,Male,Al Sharif Nawaf Faiez Al Abdelhakim is the chief executive officer at ASG Holding.,,https://www.linkedin.com/in/al-sharif-nawaf-faiez-al-abdelhakim-43323583/
https://www.crunchbase.com/person/pietro-schumann,Pietro Schumann,�,Riyadh,Saudi Arabia,"13,506",Pietro,Schumann,Male,"Pietro Schumann works for a Saudi-British Entrepreneur in Riyadh, Saudi Arabia. Pietro is a Member of a reputable Saudi Single Family Office with business interest in EdTech, FinTech, Legal and Professional Services. Pietro works here on establishing and maintaining strategic partnerships across various verticals.",,https://www.linkedin.com/in/pietroschumann/
https://www.crunchbase.com/person/abdulaziz-alomran,Abdulaziz Alomran,"Founder, Chief Executive Officer, Managing Director & Asset Management Manager",Saudi Arabia,,"13,507",Abdulaziz,Alomran,Male,Abdulaziz Alomran is a Founding Partner of Impact46. He attended London Business School.,Impact46,https://www.linkedin.com/in/abdulaziz-omran-al-82029a2/
https://www.crunchbase.com/person/ravi-samtaney,Ravi Samtaney,Co-Founder & CTO,Thuwal,Saudi Arabia,"13,541",Ravi,Samtaney,Male,"Ravi Samtaney is presently a professor in Mechanical Engineering (Physical Science and Engineering Division) with a joint appointment in Applied Mathematics & Computational Science at the King Abdullah University of Science and Technology (KAUST) in the Kingdom of Saudi Arabia. He serves also serves as the Internim Dean of the PSE Division. Prior to KAUST, he was a Research Physicist at the Princeton Plasma Physics Laboratory, Princeton University, and a research faculty at the California Institute of Technology, and worked at NASA Ames Research Center. His research is at the intersection of applied mathematics, physics, and engineering, from fundamental processes in fluid mechanics (shocks, turbulence, ablation, ionization, etc.) to numerical methods and large-scale computing (adaptive meshing, scalable solvers, software engineering, etc.). He obtained his PhD from Rutgers University in 1994.",UnitX,
https://www.crunchbase.com/person/bandar-bin-saud-bin-khalid,Bandar Bin Saud Bin Khalid,Secretary General,Saudi Arabia,,"14,056",Bandar Bin Saud Bin,Khalid,Prefer not to identify,"Prince Bandar bin Saud bin Khalid Al Saud is the Secretary General of King Faisal Foundation, an international philanthropic institution based in Saudi Arabia. He also serves as Chairman of the Board of Directors with Al Khozama Management Company, the leading hospitality company in the region and one of the top real estate development and investment companies in Saudi Arabia.

Under Bandar�s leadership, Al Khozama has grown into a company that offers a broad range of bespoke hotel development and management solutions for clients in Saudi Arabia and internationally. Drawing on extensive experience with international real estate markets, the company maintains a thriving realty management and real estate development business. Al Khozama�s portfolio currently includes properties such as Al Faisaliah Tower, a major tourist attraction in Riyadh, Al Faisaliah Hotel, a luxury business hotel, and Al Faisaliah Mall, an upscale shopping, dining, and entertainment center. At the 2015 World Travel Awards, Al Khozama took home 10 prestigious  awards�more than any other nominee. In the 2016 alone, the company reaped 7 more awards.

Between 1997 and 2007, Bandar Al Saud was entrusted by King Faisal Foundation�s Board of Trustees to form and lead a Core Team that tasked with the planning and launch of the world-class, research-focused Alfaisal University. Opened in 2007 with a freshman class of fewer than 100 students, Alfaisal University currently enrolls 1,144 men and 1,376 women. Students at Alfaisal University pursue undergraduate and graduate degrees in fields ranging from medicine and life sciences to business and engineering. Prince Bandar currently serves as Chairman of the Executive Committee and Member of the University�s Board of Trustees.

The King Faisal Foundation also encompasses the King Faisal Center for Research and Islamic Studies, an independent organization dedicated to serving Islamic civilization and promoting cultural research. The Center hosts a wide variety of lectures and conferences  on important issues in Islamic culture, and operates a visiting fellows program to connect scholars with their counterparts in foreign countries. In addition, the Center maintains the first public, non-governmental library in Saudi Arabia. The library�s collections encompass north of 160,000 original manuscripts�including more than 1,000 rare texts�and more than 41,000 manuscript copies on paper and microfilm.

In his capacity as Secretary General, Prince Bandar ensures that King Faisal Foundation extends necessary support to the prestigious King Faisal International Prize which was first awarded in 1979. The Prize recognizes the accomplishments of scholars in five scientific and cultural fields. Candidates may be nominated by Islamic institutions, universities, scientific or other scholarly groups, and previous laureates. Winners are chosen via a rigorous selection process and are typically announced every January. They receive their prize during a ceremony in Riyadh.

The King Faisal Foundation also supports education through a generous scholarship program offered to students enrolled in grade four at King Faisal School through postgraduate studies at Alfaisal University. Awarded on the basis of financial need and merit, the scholarships help prepare the next generation of internationally minded, well-rounded scholars and scientific innovators.

Prince Bandar bin Saud bin Khalid Al Saud received his bachelor�s degree in social sciences from King Saud University in 1982. He spent the early years of his career as Director of Public Relations at King Faisal Foundation, and then climbed up the leadership ladder with experience and vision to became the Secretary General of the Foundation. In addition to his work as Chairman of Al Khozama Management Company, his business activities include board positions at Safety Agencies Co. Ltd., Saudi Reuters Company Ltd., and Saudi Trading and Resources Company Ltd. (STAR). Bandar Al  Saud also serves as Chairman of the Board at BAS Global Investments, President of Dar Arowaj Advertising and Director General of Sama Althuraya Decorations. His most significant accomplishment in the private sector, however, has been his role as Chairman of the Board of Landmark Arabia since 1999.",King Faisal Foundation,https://www.linkedin.com/in/prince-bandar-bin-saud-bin-khalid-al-saud-1168793a/?ppe=1
https://www.crunchbase.com/person/omar-almajdouie,Omar Almajdouie,Founding Partner & CEO,Dammam,Saudi Arabia,"14,540",Omar,Almajdouie,Male,�,Raed Ventures,https://www.linkedin.com/in/omar-a-almajdouie-a978093/
https://www.crunchbase.com/person/kadri-harma,Kadri Harma,CEO of Savvy Ecosystems Company,Riyadh,Saudi Arabia,"14,662",Kadri,Harma,Female,Kadri Harma is the current CEO of Savvy Gaming Group. She previously worked Black Nights Film Festival as an Advisor. Kadri Harma attended Copenhagen Business School in 1998.,Savvy Gaming Group,https://www.linkedin.com/in/kadri-harma-83b3535
https://www.crunchbase.com/person/waleed-alharbi,Walid AlHarbi,�,Saudi Arabia,,"14,723",Walid,AlHarbi,Male,16+ years of experience in business technology management. I'm always interested in hearing about Enterprise Software/Hardware and Digital Innovation as a late-stage venture angel investor.,,https://sa.linkedin.com/in/walidmh
