Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/ramy-tawfik,Ramy Tawfik,IT Manager,Qatar,,"1,264,828",Ramy,Tawfik,Male,Ramy Tawfik is the IT manager at Gulf Bridge International.,Gulf Bridge International,https://www.linkedin.com/in/ramy-tawfik-3b952372/?originalSubdomain=qa
https://www.crunchbase.com/person/alaa-tarawneh,Alaa Tarawneh,Author,Doha,Qatar,"1,278,197",Alaa,Tarawneh,Male,�,Digital Boom,
https://www.crunchbase.com/person/sameer-tk,Sameer Tk,�,Qatar,,"1,301,951",Sameer,Tk,Male,�,,https://www.linkedin.com/in/sameer-tk-b55aaa29/
https://www.crunchbase.com/person/godfrey-paul,Godfrey Paul,�,Qatar,,"1,303,012",Godfrey,Paul,Male,�,,
https://www.crunchbase.com/person/mamdouh-bayan,Mamdouh Bayan,�,Doha,Qatar,"1,312,493",Mamdouh,Bayan,Male,I am a Director renowned for media visuals and music video shoots. I have also directed TV commercials and photoshoots in my 11 years of industry experience.,,https://qa.linkedin.com/in/mamdouh-bayan-747b9686
https://www.crunchbase.com/person/samuel-eto-o,Samuel Eto'o,�,Doha,Qatar,"1,313,322",Samuel,Eto'o,Male,Samuel Eto'o is a Founder at Samuel Eto�o Foundation.,,https://twitter.com/SamuelEtoo
https://www.crunchbase.com/person/shamsheer-keloth,Shamsheer Keloth,�,Qatar,,"1,319,221",Shamsheer,Keloth,Male,�,,https://www.linkedin.com/in/shamsheer-keloth-5ba820103/
https://www.crunchbase.com/person/akin-adamson,Akin Adamson,�,Qatar,,"1,320,201",Akin,Adamson,Male,�,,https://www.linkedin.com/in/akinadamson/
https://www.crunchbase.com/person/mohamed-abdelwahid,Mohamed Abdelwahid,�,Doha,Qatar,"1,332,658",Mohamed,Abdelwahid,Male,�,,
https://www.crunchbase.com/person/chris-lauwerys,Chris Lauwerys,�,Qatar,,"1,390,488",Chris,Lauwerys,Male,"Chris Lauwerys has 15 years� experience managing corporate, B2B and consumer accounts across a range of sectors including: technology, media and professional services.

In our Doha office, Chris leads the work for a prominent local museum, highlighting the organisation�s efforts to develop the country�s art, culture and heritage to national, regional and international audiences through traditional and digital channels. He also oversees the work for the local branch of a global telecoms company, building awareness, understanding and engagement with the business� mission, vision and strategy � including its network infrastructure investment, successful product and service offerings, customer-focus and how it is operating as a high quality and innovative business. He has also led a number of social action and CSR campaigns, as well as and programmes designed to encourage greater participation in science, technology, engineering and mathematics (STEM) subjects and build the skills necessary to support the delivery of the Qatar National Vision 2030. Chris also heads up the training and development programme for the team in Doha.

Chris was previously based in the London office for eight years.",,https://www.linkedin.com/in/chrislauwerys/
https://www.crunchbase.com/person/sandra-zganec,Sandra Zganec,�,Doha,Qatar,"1,400,663",Sandra,Zganec,Female,�,,
https://www.crunchbase.com/person/hyder-ali,Hyder Ali,Director,Qatar,,"1,402,712",Hyder,Ali,Male,�,Spare code Solutions,https://www.linkedin.com/in/hyderalibe/
https://www.crunchbase.com/person/junaid-muhammad,Junaid Muhammad,�,Qatar,,"1,406,823",Junaid,Muhammad,Male,Performed as a leader of marketing team,,https://www.linkedin.com/in/junaidtech2logy/
https://www.crunchbase.com/person/manoje-chandran,Manoje Chandran,�,Doha,Qatar,"1,445,479",Manoje,Chandran,Male,�,,https://www.linkedin.com/in/mkcn/
https://www.crunchbase.com/person/lucas-osorio,Lucas Osorio,�,Qatar,,"1,467,308",Lucas,Osorio,Male,�,,https://www.linkedin.com/in/lucas-osorio-35093424/
https://www.crunchbase.com/person/mathias-tingh%C3%B8j-hansen,Mathias Tingh�j Hansen,�,Doha,Qatar,"1,474,345",Mathias Tingh�j,Hansen,Male,Mathias is the Marketing Manager at Qatar Sportstech.,,https://www.linkedin.com/in/mathias-tingh%C3%B8j-33144598/
