Full Name,Full Name URL,Primary Job Title,Primary Organization,Primary Organization URL,Location,CB Rank (Person),LinkedIn,First Name,Last Name,Gender,Current Organizations,Twitter,Biography,Regions,Facebook,Schools Attended,Number of Founded Organizations,Number of News Articles
Sreevatsan Rajagopalan,https://www.crunchbase.com/person/sreevatsan-rajagopalan,"Principal, Financial Controls",Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","285,518",http://www.linkedin.com/pub/sreevatsan-vats-rajagopalan/5/432/852,Sreevatsan,Rajagopalan,Male,Investcorp,http://twitter.com/rsreevatsan,,Gulf Cooperation Council (GCC),,"Annamalai University, Bangalore University, Duke University - The Fuqua School of Business",,
Khalid Yousif Meshkhas,https://www.crunchbase.com/person/khalid-yousif-meshkhas,"Deputy General Manager, Support Services Division",Bahrain Development Bank,https://www.crunchbase.com/organization/bahrain-development-bank,"Bahrain, Asia","287,094",,Khalid,Yousif Meshkhas,Male,Bahrain Development Bank,,,Gulf Cooperation Council (GCC),,,,
Ghassan Abdulaal,https://www.crunchbase.com/person/ghassan-abdulaal,Principal and Chief of Staff,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","288,426",http://www.linkedin.com/pub/ghassan-abdulaal/2/331/632,Ghassan,Abdulaal,Male,Investcorp,,"Ghassan Abdulaal rejoined Investcorp in 2012 having previously spent six years with the company from 2003-2009. In the intervening period, Ghassan worked as an Investment Manager with Bahrain Mumtalakat Holding Company.  Prior to joining Investcorp in 2003, Ghassan worked at KPMG Consulting where he was a Consultant within the Business Performance Improvement Group. Prior to that, Ghassan worked briefly with the HEC School of Management in Paris. Ghassan holds a BA (Hons) in Accounting and Finance from the University of Kent at Canterbury, UK, and an MSc in Analysis, Design and Management of Information Systems from the London School of Economics.",Gulf Cooperation Council (GCC),,"London School of Economics and Political Science (LSE), University of Kent",,
Tahani Abbas,https://www.crunchbase.com/person/tahani-abbas,,,,"Bahrain, Asia","289,922",,Tahani,Abbas,Female,,,,Gulf Cooperation Council (GCC),,,,
Suha Karzoon,https://www.crunchbase.com/person/suha-karzoon,Chief Financial Officer,Bahrain Mumtalakat Holding,https://www.crunchbase.com/organization/bahrain-mumtalakat-holding,"Manama, Al Manamah, Bahrain","300,125",,Suha,Karzoon,Female,Bahrain Mumtalakat Holding,,"Suha joined Mumtalakat in September 2014 and currently holds the role of Chief Financial Officer, overseeing the Finance, Treasury and Capital Markets functions. As the Chief Financial Officer, Suha is currently responsible for implementing effective financial policies and controls, financial reporting to relevant stakeholders in addition to developing, implementing and managing an optimal capital structures that effectively meet short term liquidity needs and long term strategic objectives. Suha is a board member in Aluminium Bahrain (Alba). She is a Certified Public Accountant, and holds a BSc in Accounting from the University of Bahrain. Prior to holding this role, Suha was Chief Operating Officer, with the responsibility of overseeing Mumtalakat’s corporate functions including Legal, Risk Management, Human Resources and Administration, and Information Technology. She was also responsible for corporate governance practices at Mumtalakat, and ensuring compliance with legal and regulatory requirements where needed. With over 20 years of experience in finance and accounting, audit, advisory and statutory reporting services, Suha’s industry exposure includes Financial Services, Insurance and the Public Sector. Prior to joining Mumtalakat, she held the role of Vice President, Finance and Support at Tamkeen (Labour Fund), where she was responsible for Tamkeen’s internal operating units, including Finance, Human Resources, Legal and Information Technology. Formerly, she held different managerial positions at KPMG International working within the Audit and Advisory Units in Bahrain, Qatar, and the United States.",Gulf Cooperation Council (GCC),,,,
Leena Al Olaimy,https://www.crunchbase.com/person/leena-al-olaimy,,,,"Bahrain, Asia","306,247",https://www.linkedin.com/in/leenaalolaimy/,Leena,Al Olaimy,Female,,https://twitter.com/LAlOlaimy,"Social entrepreneur, Sustainable Finance, AI",Gulf Cooperation Council (GCC),,"Dartmouth College, New York University",4,5
Isa Haji,https://www.crunchbase.com/person/isa-haji,,,,"Bahrain, Asia","309,782",,Isa,Haji,Male,,https://twitter.com/iisahaji,,Gulf Cooperation Council (GCC),,,1,
Faisal Al-Jalahma,https://www.crunchbase.com/person/faisal-al-jalahma,General Manager Human Resources,Batelco,https://www.crunchbase.com/organization/batelco,"Bahrain, Asia","315,629",https://www.linkedin.com/in/faisal-al-jalahma-9a19b711/,Faisal,Al-Jalahma,Male,Batelco,,"Faisal Al-Jalahma is responsible for developing Batelco’s HR strategy with a focus on employee centricity and transforming Batelco to be Bahrain’s employer of choice. Faisal began his career with Batelco as a graduate trainee in the HR Department where he gained wide experience and knowledge of all aspects of the HR field. Having worked at Batelco prior to and following the introduction of competition, and being involved in major projects related to key operational changes, greatly broadened Faisal’s skills. In 2012, Faisal moved to the Telecommunications Regulatory Authority (TRA), held various roles and last was the Director of Finance, Information Technology and Human Resources. The role included transformational HR projects to digitalise and automate the support function processes at the TRA including in HR and Finance. The diverse scope of his role prepared him well for his return to Batelco. Faisal holds an MBA from the University of Strathclyde, UK and several executive qualifications from Harvard Business School and Harvard University, John F. Kennedy School of Government.",Gulf Cooperation Council (GCC),,"CQUniversity, University of Strathclyde",,
Sidney Wheatley,https://www.crunchbase.com/person/sidney-wheatley,,,,"Bahrain, Asia","324,037",,Sidney,Wheatley,Male,,,Sidney Wheatley is the chief executive officer at Mashael Skil Brum.,Gulf Cooperation Council (GCC),https://www.linkedin.com/in/sidney-wheatley-316a1227/?originalSubdomain=bh,,,
Timothy Mattar,https://www.crunchbase.com/person/timothy-mattar,Managing Director of Placement & Relationship Management,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","324,297",http://www.linkedin.com/pub/timothy-mattar/40/364/b16,Timothy,Mattar,Male,Investcorp,,"Timothy Mattar joined Investcorp in 1995 from Banque Indosuez, where he spent five years in a variety of senior management positions in the Gulf.  Timothy previously worked for Arthur Andersen in Bahrain providing auditing and consulting services to the financial sector and before that in London with Grant Thornton Chartered Accountants, working with a wide variety of industries. Timothy holds a BA (Hons) in History from London University and is a  member of the Institute of Chartered Accountants in England and Wales.",Gulf Cooperation Council (GCC),,University of London,,
